Name,Age,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,IBB
Sean Marshall,26,CHC,51,15,13,2,3,0,0,0,2,0,0,1,5,0,0
Sean Rodriguez,24,LAA,12,29,25,4,5,0,0,2,4,0,0,3,7,0,0
Sean West,23,FLA,19,35,31,2,2,1,0,0,0,0,0,0,19,0,0
Seth Smith,26,COL,133,387,335,61,98,20,4,15,55,4,1,46,67,2,3
Shairon Martis,22,WSN,13,27,24,4,5,1,0,0,2,0,0,0,6,0,0
Shane Robinson,24,STL,11,26,25,1,6,1,0,0,1,1,0,0,2,0,0
Shane Victorino,28,PHI,156,694,620,102,181,39,13,10,62,25,8,60,71,6,1
Shawn Riggans,28,TBR,7,14,14,2,2,0,0,1,1,0,0,0,3,0,0
Shelley Duncan,29,NYY,11,15,15,1,3,0,0,0,1,0,0,0,5,0,0
Shin-Soo Choo,26,CLE,156,685,583,87,175,38,6,20,86,21,2,78,151,17,5
Skip Schumaker,29,STL,153,586,532,85,161,34,1,4,35,2,2,52,69,0,2
So Taguchi,39,CHC,6,12,11,1,3,1,0,0,0,0,0,1,4,0,0
Stephen Drew,26,ARI,135,595,533,71,139,29,12,12,65,5,1,49,87,1,7
Steve Pearce,26,PIT,60,186,165,19,34,13,1,4,16,1,0,21,43,0,0
Taylor Teagarden,25,TEX,60,218,198,26,43,13,0,6,24,0,0,14,76,1,0
Ted Lilly,33,CHC,26,64,57,2,5,1,1,0,2,0,1,2,27,0,0
Tim Hudson,33,ATL,7,15,12,2,4,0,0,1,2,0,0,2,1,0,0
Tim Lincecum,25,SFG,32,86,66,8,10,1,0,0,3,0,0,6,36,0,0
Tim Redding,31,NYM,28,32,29,0,2,0,0,0,0,0,0,0,9,0,0
Tim Stauffer,27,SDP,14,27,23,1,4,0,0,0,0,0,0,1,13,1,0
Todd Helton,35,COL,151,645,544,79,177,38,3,15,86,0,1,89,73,2,5
Todd Wellemeyer,30,STL,30,45,39,1,5,0,0,0,0,0,0,0,16,0,0
Tom Gorzelanny,26,TOT,22,16,14,0,2,0,0,0,2,0,0,1,5,0,0
Tommy Everidge,26,OAK,24,97,85,13,19,6,0,2,7,0,0,8,17,2,1
Tommy Hanson,22,ATL,20,46,37,2,2,0,0,0,1,0,0,1,20,0,0
Tony Abreu,24,LAD,6,11,8,0,2,0,0,0,1,0,1,3,2,0,0
Tony Clark,37,ARI,36,78,66,7,12,4,0,4,11,0,0,11,24,0,0
Tony Graffanino,37,CLE,7,24,23,1,3,1,0,0,0,0,0,1,5,0,0
Tony Gwynn,26,SDP,119,451,393,59,106,11,6,2,21,11,7,48,65,2,2
Tony Pena,28,KCR,40,53,51,3,5,1,0,0,2,0,0,2,13,0,0
Torii Hunter,33,LAA,119,506,451,74,135,26,1,22,90,18,4,47,92,3,4
Travis Buck,25,OAK,36,115,105,11,23,3,0,3,10,1,1,10,20,0,0
Travis Hafner,32,CLE,94,383,338,46,92,19,0,16,49,0,0,41,67,3,6
Travis Ishikawa,25,SFG,120,363,326,49,85,10,2,9,39,2,2,30,89,4,3
Travis Snider,21,TOR,77,276,241,34,58,14,1,9,29,1,1,29,78,3,1
Trent Oeltjen,26,ARI,24,73,70,11,17,4,1,3,4,3,1,1,13,0,0
Trevor Crowe,25,CLE,68,202,183,22,43,9,3,1,17,6,0,11,39,1,0
Troy Glaus,32,STL,14,32,29,2,5,2,0,0,2,0,0,3,8,0,0
Troy Tulowitzki,24,COL,151,628,543,101,161,25,9,32,92,20,11,73,112,3,4
Tug Hulett,26,KCR,15,19,18,4,2,0,0,0,1,0,0,1,6,0,0
Ty Wigginton,31,BAL,122,436,410,44,112,19,0,11,41,1,2,23,57,2,1
Tyler Colvin,23,CHC,6,20,17,1,3,0,0,0,2,0,0,2,5,0,0
Tyler Flowers,23,CHW,10,20,16,3,3,1,0,0,0,0,0,3,8,1,0
Tyler Greene,25,STL,48,116,108,9,24,5,0,2,7,3,0,4,32,3,0
Ubaldo Jimenez,25,COL,31,77,59,5,13,0,0,0,2,0,0,6,15,0,0
Vernon Wells,30,TOR,158,684,630,84,164,37,3,15,66,17,4,48,86,1,2
Vicente Padilla,31,TOT,9,17,15,0,3,0,0,0,2,0,0,0,8,0,0
Victor Martinez,30,TOT,155,672,588,88,178,33,1,23,108,1,0,75,74,3,3
Vladimir Guerrero,34,LAA,100,407,383,59,113,16,1,15,50,2,1,19,56,4,3
Wade LeBlanc,24,SDP,8,17,13,0,1,0,0,0,0,0,0,1,3,0,0
Wandy Rodriguez,30,HOU,32,70,63,4,8,3,0,0,4,0,0,1,19,0,0
Wes Helms,33,FLA,113,234,214,18,58,11,0,3,33,1,1,13,54,3,1
Wil Nieves,31,WSN,72,249,224,20,58,6,0,1,26,1,0,17,45,3,1
Wilkin Ramirez,23,DET,15,13,11,6,4,0,1,1,3,0,0,1,3,0,0
Will Venable,26,SDP,95,324,293,38,75,14,2,12,38,6,1,25,89,4,2
Willie Bloomquist,31,KCR,125,468,434,52,115,11,8,4,29,25,6,27,73,1,1
Willie Harris,31,WSN,137,393,323,47,76,18,6,7,27,11,4,57,62,9,1
Willy Aybar,26,TBR,105,336,296,38,75,12,0,12,41,1,0,34,54,2,2
Willy Taveras,27,CIN,102,437,404,56,97,11,2,1,15,25,6,18,58,2,0
Wilson Betemit,27,CHW,20,50,45,2,9,5,0,0,3,0,0,5,13,0,0
Wilson Valdez,31,NYM,41,95,86,11,22,3,2,0,7,0,1,8,10,1,0
Wladimir Balentien,24,TOT,96,295,265,30,62,17,1,7,24,2,1,28,70,0,1
Wyatt Toregas,26,CLE,19,60,51,1,9,1,0,0,6,0,0,6,12,1,0
Xavier Nady,30,NYY,7,29,28,4,8,4,0,0,2,0,0,1,6,0,0
Xavier Paul,24,LAD,11,16,14,3,3,1,0,1,1,0,1,2,4,0,0
Yadier Molina,26,STL,140,544,481,45,141,23,1,6,54,9,3,50,39,6,2
Yorvit Torrealba,30,COL,64,242,213,27,62,11,1,2,31,1,1,21,42,1,5
Yovani Gallardo,23,MIL,29,66,58,6,10,2,0,2,8,0,0,2,23,0,0
Yunel Escobar,26,ATL,141,604,528,89,158,26,2,14,76,5,4,57,62,10,3
Yuniesky Betancourt,27,TOT,134,508,470,40,115,20,6,6,49,3,3,21,44,0,0
Yusmeiro Petit,24,ARI,23,28,27,0,1,0,0,0,0,0,0,1,8,0,0
Zach Duke,26,PIT,31,79,60,1,12,2,0,0,5,0,0,4,18,0,0
